============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,Email-Enron.txt,,,,,,,,,,,,
SMd,SMt,0.0192,0.1489,29.1,wiki-Vote.txt,,,,,,,,,,,,
SMd,SMt,0.0049,0.3579,19.3,Gowalla_edges.txt,,,,,,,,,,,,
SMd,SMt,0.0281,0.0887,43.7,facebook.txt,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.56148E+12, Email-Enron.txt,17%, kc=15 ,,,,61.292, SMt,1.168,0.085,3.527,,,,,,
1.56148E+12, Email-Enron.txt,20%, kc=14 ,,,,56.862, SMt,1.168,0.101,3.175,,,,,,
1.56148E+12, Email-Enron.txt,20%, kc=13 ,,,,56.862, SMt,1.168,0.101,3.175,,,,,,
1.56148E+12, Email-Enron.txt,32%, kc=9 ,,,,42.243, SMt,1.175,0.15,2.339,,,,,,
1.56148E+12, Email-Enron.txt,42%, kc=8 ,,,,30.456, SMt,1.164,0.192,1.951,,,,,,
1.56148E+12, Email-Enron.txt,42%, kc=7 ,,,,30.456, SMt,1.164,0.192,1.951,,,,,,
1.56148E+12, Email-Enron.txt,58%, kc=6 ,,,,11.907, SMt,1.157,0.263,1.556,,,,,,
1.56148E+12, Email-Enron.txt,58%, kc=5 ,,,,11.907, SMt,1.157,0.263,1.556,,,,,,
1.56148E+12, Email-Enron.txt,68%, kc=4 ,,,,0.143, SMt,1.115,0.346,1.37,,,,,,
1.56148E+12, wiki-Vote.txt,20%, kc=36 ,,,,10.309, SMt,1.033,0.106,3.108,,,,,,
1.56148E+12, wiki-Vote.txt,21%, kc=35 ,,,,10.278, SMt,1.031,0.107,3.087,,,,,,
1.56148E+12, wiki-Vote.txt,21%, kc=34 ,,,,10.11, SMt,1.028,0.109,3.068,,,,,,
1.56148E+12, wiki-Vote.txt,38%, kc=11 ,,,,6.634, SMt,1.002,0.213,2.336,,,,,,
1.56148E+12, wiki-Vote.txt,39%, kc=10 ,,,,6.359, SMt,1.002,0.233,2.269,,,,,,
1.56148E+12, wiki-Vote.txt,40%, kc=9 ,,,,6.014, SMt,1.002,0.249,2.219,,,,,,
1.56148E+12, wiki-Vote.txt,52%, kc=4 ,,,,3.374, SMt,1.004,0.521,1.807,,,,,,
1.56148E+12, wiki-Vote.txt,58%, kc=3 ,,,,9.574, SMt,1.003,0.68,1.657,,,,,,
1.56148E+12, wiki-Vote.txt,67%, kc=2 ,,,,7.532, SMt,1.004,1.475,1.456,,,,,,
1.56148E+12, Gowalla_edges.txt,21%, kc=16 ,,,,232.134, SMt,1.542,0.108,2.851,file:/I:/IDEA_PROJ/Visualization/src/main/scala/11111111111.csv,,,,,
1.56148E+12, Gowalla_edges.txt,21%, kc=15 ,,,,232.134, SMt,1.542,0.108,2.851,,,,,,
1.56148E+12, Gowalla_edges.txt,24%, kc=14 ,,,,215.768, SMt,1.486,0.121,2.625,,,,,,
